U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
0.74511316,0.963795386,0.296368579,-0.643538133,0.486150399,0.697761954,0.832429184,0.769048588
-0.158622669,0.74511316,0.963795386,0.296368579,0.409689792,0.486150399,0.697761954,0.832429184
-0.916521548,-0.158622669,0.74511316,0.963795386,0.527832339,0.409689792,0.486150399,0.697761954
-0.831774743,-0.916521548,-0.158622669,0.74511316,0.721534859,0.527832339,0.409689792,0.486150399
0.017701925,-0.831774743,-0.916521548,-0.158622669,0.834834902,0.721534859,0.527832339,0.409689792
0.850903525,0.017701925,-0.831774743,-0.916521548,0.752423467,0.834834902,0.721534859,0.527832339
0.901788348,0.850903525,0.017701925,-0.831774743,0.540814359,0.752423467,0.834834902,0.721534859
0.123573123,0.901788348,0.850903525,0.017701925,0.409364228,0.540814359,0.752423467,0.834834902
-0.768254661,0.123573123,0.901788348,0.850903525,0.480404189,0.409364228,0.540814359,0.752423467
-0.953752653,-0.768254661,0.123573123,0.901788348,0.667529434,0.480404189,0.409364228,0.540814359
-0.262374854,-0.953752653,-0.768254661,0.123573123,0.820221647,0.667529434,0.480404189,0.409364228
0.670229176,-0.262374854,-0.953752653,-0.768254661,0.795653393,0.820221647,0.667529434,0.480404189
0.986627592,0.670229176,-0.262374854,-0.953752653,0.602488493,0.795653393,0.820221647,0.667529434
0.39592515,0.986627592,0.670229176,-0.262374854,0.427022452,0.602488493,0.795653393,0.820221647
-0.558789049,0.39592515,0.986627592,0.670229176,0.442285015,0.427022452,0.602488493,0.795653393
-0.999755173,-0.558789049,0.39592515,0.986627592,0.611042156,0.442285015,0.427022452,0.602488493
-0.521551002,-0.999755173,-0.558789049,0.39592515,0.790255023,0.611042156,0.442285015,0.427022452
0.436164755,-0.521551002,-0.999755173,-0.558789049,0.824086126,0.790255023,0.611042156,0.442285015
0.992872648,0.436164755,-0.521551002,-0.999755173,0.665588464,0.824086126,0.790255023,0.611042156
0.636738007,0.992872648,0.436164755,-0.521551002,0.461711112,0.665588464,0.824086126,0.790255023
-0.304810621,0.636738007,0.992872648,0.436164755,0.416905653,0.461711112,0.665588464,0.824086126
-0.96611777,-0.304810621,0.636738007,0.992872648,0.555677037,0.416905653,0.461711112,0.665588464
-0.739180697,-0.96611777,-0.304810621,0.636738007,0.7478471,0.555677037,0.416905653,0.461711112
0.1673557,-0.739180697,-0.96611777,-0.304810621,0.835725559,0.7478471,0.555677037,0.416905653
0.920026038,0.1673557,-0.739180697,-0.96611777,0.724543536,0.835725559,0.7478471,0.555677037
0.826828679,0.920026038,0.1673557,-0.739180697,0.510562945,0.724543536,0.835725559,0.7478471
-0.026551154,0.826828679,0.920026038,0.1673557,0.40731846,0.510562945,0.724543536,0.835725559
-0.855519979,-0.026551154,0.826828679,0.920026038,0.504656575,0.40731846,0.510562945,0.724543536
-0.897927681,-0.855519979,-0.026551154,0.826828679,0.696777556,0.504656575,0.40731846,0.510562945
-0.114784814,-0.897927681,-0.855519979,-0.026551154,0.830034545,0.696777556,0.504656575,0.40731846
0.773890682,-0.114784814,-0.897927681,-0.855519979,0.774345887,0.830034545,0.696777556,0.504656575
0.951054653,0.773890682,-0.114784814,-0.897927681,0.569184431,0.774345887,0.830034545,0.696777556
0.253823363,0.951054653,0.773890682,-0.114784814,0.415413165,0.569184431,0.774345887,0.830034545
-0.676771957,0.253823363,0.951054653,0.773890682,0.46116749,0.415413165,0.569184431,0.774345887
-0.98514626,-0.676771957,0.253823363,0.951054653,0.64112926,0.46116749,0.415413165,0.569184431
-0.387781635,-0.98514626,-0.676771957,0.253823363,0.807934994,0.64112926,0.46116749,0.415413165
0.566107637,-0.387781635,-0.98514626,-0.676771957,0.810978632,0.807934994,0.64112926,0.46116749
0.999520159,0.566107637,-0.387781635,-0.98514626,0.632235379,0.810978632,0.807934994,0.64112926
0.513978456,0.999520159,0.566107637,-0.387781635,0.441295303,0.632235379,0.810978632,0.807934994
-0.444112669,0.513978456,0.999520159,0.566107637,0.428598638,0.441295303,0.632235379,0.810978632
-0.993888654,-0.444112669,0.513978456,0.999520159,0.584748305,0.428598638,0.441295303,0.632235379
-0.629887994,-0.993888654,-0.444112669,0.513978456,0.771709628,0.584748305,0.428598638,0.441295303
0.313228782,-0.629887994,-0.993888654,-0.444112669,0.83170017,0.771709628,0.584748305,0.428598638
0.968364461,0.313228782,-0.629887994,-0.993888654,0.694063359,0.83170017,0.771709628,0.584748305
0.73319032,0.968364461,0.313228782,-0.629887994,0.483084936,0.694063359,0.83170017,0.771709628
-0.17607562,0.73319032,0.968364461,0.313228782,0.410294215,0.483084936,0.694063359,0.83170017
-0.923458447,-0.17607562,0.73319032,0.968364461,0.531029975,0.410294215,0.483084936,0.694063359
-0.821817837,-0.923458447,-0.17607562,0.73319032,0.724738151,0.531029975,0.410294215,0.483084936
0.035398303,-0.821817837,-0.923458447,-0.17607562,0.835193083,0.724738151,0.531029975,0.410294215
0.860069406,0.035398303,-0.821817837,-0.923458447,0.749299653,0.835193083,0.724738151,0.531029975
0.893996664,0.860069406,0.035398303,-0.821817837,0.537135692,0.749299653,0.835193083,0.724738151
0.105987512,0.893996664,0.860069406,0.035398303,0.408858532,0.537135692,0.749299653,0.835193083
-0.77946607,0.105987512,0.893996664,0.860069406,0.483131703,0.408858532,0.537135692,0.749299653
-0.948282141,-0.77946607,0.105987512,0.893996664,0.67101824,0.483131703,0.408858532,0.537135692
-0.245251985,-0.948282141,-0.77946607,0.105987512,0.821609159,0.67101824,0.483131703,0.408858532
0.683261715,-0.245251985,-0.948282141,-0.77946607,0.793356204,0.821609159,0.67101824,0.483131703
0.983587745,0.683261715,-0.245251985,-0.948282141,0.598532128,0.793356204,0.821609159,0.67101824
0.379607739,0.983587745,0.683261715,-0.245251985,0.425399525,0.598532128,0.793356204,0.821609159
-0.573381872,0.379607739,0.983587745,0.683261715,0.444329902,0.425399525,0.598532128,0.793356204
-0.999206834,-0.573381872,0.379607739,0.983587745,0.614575449,0.444329902,0.425399525,0.598532128
-0.506365641,-0.999206834,-0.573381872,0.379607739,0.792528503,0.614575449,0.444329902,0.425399525
0.452025787,-0.506365641,-0.999206834,-0.573381872,0.822787324,0.792528503,0.614575449,0.444329902
0.994826791,0.452025787,-0.506365641,-0.999206834,0.661709316,0.822787324,0.792528503,0.614575449
0.622988631,0.994826791,0.452025787,-0.506365641,0.459089091,0.661709316,0.822787324,0.792528503
-0.321622403,0.622988631,0.994826791,0.452025787,0.418056919,0.459089091,0.661709316,0.822787324
-0.970535284,-0.321622403,0.622988631,0.994826791,0.559043211,0.418056919,0.459089091,0.661709316
-0.7271425,-0.970535284,-0.321622403,0.622988631,0.750794,0.559043211,0.418056919,0.459089091
0.184781745,-0.7271425,-0.970535284,-0.321622403,0.83550761,0.750794,0.559043211,0.418056919
0.926818505,0.184781745,-0.7271425,-0.970535284,0.721078523,0.83550761,0.750794,0.559043211
0.816742607,0.926818505,0.184781745,-0.7271425,0.507171115,0.721078523,0.83550761,0.750794
-0.044242678,0.816742607,0.926818505,0.184781745,0.407411218,0.507171115,0.721078523,0.83550761
-0.864551449,-0.044242678,0.816742607,0.926818505,0.507659333,0.407411218,0.507171115,0.721078523
-0.889995604,-0.864551449,-0.044242678,0.816742607,0.700146346,0.507659333,0.407411218,0.507171115
-0.097181906,-0.889995604,-0.864551449,-0.044242678,0.830887865,0.700146346,0.507659333,0.407411218
0.784980389,-0.097181906,-0.889995604,-0.864551449,0.771582764,0.830887865,0.700146346,0.507659333
0.945435334,0.784980389,-0.097181906,-0.889995604,0.565331712,0.771582764,0.830887865,0.700146346
0.236661393,0.945435334,0.784980389,-0.097181906,0.414376977,0.565331712,0.771582764,0.830887865
-0.689697941,0.236661393,0.945435334,0.784980389,0.46360218,0.414376977,0.565331712,0.771582764
-0.981952169,-0.689697941,0.236661393,0.945435334,0.644667111,0.46360218,0.414376977,0.565331712
-0.371404101,-0.981952169,-0.689697941,0.236661393,0.809760404,0.644667111,0.46360218,0.414376977
0.580611184,-0.371404101,-0.981952169,-0.689697941,0.809133359,0.809760404,0.644667111,0.46360218
0.998815225,0.580611184,-0.371404101,-0.981952169,0.6282713,0.809133359,0.809760404,0.644667111
0.498713154,0.998815225,0.580611184,-0.371404101,0.43918199,0.6282713,0.809133359,0.809760404
